Date,Open,High,Low,Close,Adj Close,Volume
2021-11-17,27.863899,27.938601,27.788656,27.860901,27.860901,0
2021-11-18,27.847792,28.128500,27.847792,27.852142,27.852142,0
2021-11-19,28.039499,28.056000,27.817265,28.023249,28.023249,0
2021-11-22,28.021299,28.135477,27.959961,28.022600,28.022600,0
2021-11-23,28.142401,28.456900,28.119114,28.141899,28.141899,0
2021-11-24,28.434799,28.800545,28.350773,28.443123,28.443123,0
2021-11-25,28.542700,28.747000,28.492357,28.542000,28.542000,0
2021-11-26,28.803200,29.464529,28.792074,28.800980,28.800980,0
2021-11-29,28.981600,29.334101,28.875099,28.988260,28.988260,0
2021-11-30,28.864300,29.083443,28.296026,28.864901,28.864901,0
2021-12-01,28.472099,28.509010,28.193697,28.483999,28.483999,0
2021-12-02,28.510599,28.517300,28.281200,28.507999,28.507999,0
2021-12-03,28.338699,28.423000,28.105457,28.342699,28.342699,0
2021-12-06,28.083628,28.244101,28.041431,28.086000,28.086000,0
2021-12-07,28.163401,28.219398,27.838879,28.150009,28.150009,0
2021-12-08,27.851801,27.866400,27.558901,27.852842,27.852842,0
2021-12-09,27.656300,27.822300,27.600952,27.655199,27.655199,0
2021-12-10,27.704300,27.820700,27.597092,27.704201,27.704201,0
2021-12-13,27.673300,27.755575,27.615915,27.672600,27.672600,0
2021-12-14,27.747299,28.081532,27.682604,27.749500,27.749500,0
2021-12-15,28.081499,28.184357,28.020864,28.080999,28.080999,0
2021-12-16,27.893200,28.038300,27.782499,27.893000,27.893000,0
2021-12-17,27.739799,27.792601,27.472099,27.737379,27.737379,0
2021-12-20,27.561001,27.671894,27.377878,27.560499,27.560499,0
2021-12-21,27.408701,27.602600,27.374926,27.415001,27.415001,0
2021-12-22,27.624363,27.740999,27.589504,27.628874,27.628874,0
2021-12-23,27.662701,27.826700,27.639143,27.667700,27.667700,0
2021-12-24,27.636801,27.686731,27.563801,27.653461,27.653461,0
2021-12-27,27.621727,27.844690,27.615168,27.620962,27.620962,0
2021-12-28,27.812901,27.845518,27.599091,27.815100,27.815100,0
2021-12-29,27.754299,27.793352,27.633600,27.752600,27.752600,0
2021-12-30,27.746284,27.798000,27.642162,27.759899,27.759899,0
2021-12-31,27.619896,27.751400,27.470200,27.612900,27.612900,0
2022-01-03,27.691799,27.767599,27.538799,27.693001,27.693001,0
2022-01-04,27.630501,27.816414,27.588514,27.620333,27.620333,0
2022-01-05,27.778000,27.813000,27.563700,27.778700,27.778700,0
2022-01-06,27.890100,28.047001,27.615049,27.873533,27.873533,0
2022-01-07,27.748800,27.758924,27.615135,27.732729,27.732729,0
2022-01-10,27.709900,27.814699,27.621965,27.712900,27.712900,0
2022-01-11,27.658691,27.756420,27.640192,27.645761,27.645761,0
2022-01-12,27.792999,27.910175,27.769007,27.796801,27.796801,0
2022-01-13,27.905600,28.020618,27.886890,27.906500,27.906500,0
2022-01-14,27.884899,27.917801,27.742300,27.883200,27.883200,0
2022-01-17,27.756100,27.803200,27.673342,27.755899,27.755899,0
2022-01-18,27.692551,27.798035,27.625156,27.689100,27.689100,0
2022-01-19,27.737600,27.911200,27.692087,27.741392,27.741392,0
2022-01-20,27.912100,27.965599,27.767624,27.909201,27.909201,0
2022-01-21,27.909372,27.925699,27.701401,27.913601,27.913601,0
2022-01-24,27.719801,27.796602,27.662481,27.717100,27.717100,0
2022-01-25,27.748699,27.903299,27.729963,27.749201,27.749201,0
2022-01-26,27.838400,27.919300,27.748800,27.838100,27.838100,0
2022-01-27,27.893801,27.949347,27.683701,27.893299,27.893299,0
2022-01-28,27.800501,28.020201,27.746527,27.800100,27.800100,0
2022-01-31,27.914400,27.944407,27.685101,27.915400,27.915400,0
2022-02-01,27.739799,27.804600,27.633705,27.745399,27.745399,0
2022-02-02,27.767538,27.975599,27.723253,27.785801,27.785801,0
2022-02-03,27.952000,28.070299,27.899679,27.958401,27.958401,0
2022-02-04,27.959921,28.107700,27.852100,27.963449,27.963449,0
2022-02-07,27.951099,28.003384,27.810902,27.948700,27.948700,0
2022-02-08,27.875601,28.007200,27.859312,27.874800,27.874800,0
2022-02-09,27.887339,27.926701,27.740559,27.903816,27.903816,0
2022-02-10,27.725924,27.862045,27.664734,27.725611,27.725611,0
2022-02-11,27.850401,27.922800,27.704620,27.852301,27.852301,0
2022-02-14,27.835600,27.857500,27.553900,27.829201,27.829201,0
2022-02-15,27.609900,27.653999,27.547979,27.617785,27.617785,0
2022-02-16,27.612400,27.663530,27.572412,27.609501,27.609501,0
2022-02-17,27.560762,27.717899,27.528093,27.557426,27.557426,0
2022-02-18,27.645800,27.666100,27.553949,27.644501,27.644501,0
2022-02-21,27.583042,27.676600,27.560617,27.585375,27.585375,0
2022-02-22,27.630100,27.653921,27.481764,27.631001,27.631001,0
2022-02-23,27.580000,27.598499,27.393200,27.575600,27.575600,0
2022-02-24,27.414900,27.607311,27.328789,27.420401,27.420401,0
2022-02-25,27.493299,27.551500,27.300741,27.496500,27.496500,0
2022-02-28,27.500301,27.548401,27.265846,27.510633,27.510633,0
2022-03-01,27.482599,27.528551,27.354401,27.462185,27.462185,0
2022-03-02,27.515499,27.723305,27.445873,27.525969,27.525969,0
2022-03-03,27.650999,27.734100,27.583628,27.653372,27.653372,0
2022-03-04,27.556101,27.745926,27.529900,27.551901,27.551901,0
2022-03-07,27.705299,27.980101,27.642527,27.704136,27.704136,0
2022-03-08,27.936501,28.168167,27.865957,27.934099,27.934099,0
2022-03-09,27.974150,27.986500,27.542200,27.980200,27.980200,0
2022-03-10,27.567200,27.744499,27.467300,27.562000,27.562000,0
2022-03-11,27.407700,27.533541,27.288700,27.408501,27.408501,0
2022-03-14,27.274700,27.325300,27.164200,27.264299,27.264299,0
2022-03-15,27.188000,27.301500,27.163700,27.192602,27.192602,0
2022-03-16,27.168550,27.212200,27.081900,27.165501,27.165501,0
2022-03-17,27.120300,27.203600,26.959000,27.119200,27.119200,0
2022-03-18,26.994900,27.025200,26.824203,26.992800,26.992800,0
2022-03-21,26.825701,26.850201,26.737783,26.825199,26.825199,0
2022-03-22,26.841801,26.919001,26.759699,26.837711,26.837711,0
2022-03-23,26.906300,26.947599,26.608377,26.904800,26.904800,0
2022-03-24,26.704399,26.716373,26.521660,26.709101,26.709101,0
2022-03-25,26.491800,26.537201,26.285685,26.492100,26.492100,0
2022-03-28,26.390900,26.462000,26.246698,26.384899,26.384899,0
2022-03-29,26.321800,26.336201,26.148373,26.325100,26.325100,0
2022-03-30,26.144669,26.231400,26.071711,26.141026,26.141026,0
2022-03-31,26.108101,26.270599,26.027288,26.114100,26.114100,0
2022-04-01,26.121901,26.167400,25.897465,26.128887,26.128887,0
2022-04-04,26.034300,26.055799,25.872200,26.031900,26.031900,0
2022-04-05,25.977400,26.127892,25.949209,25.978073,25.978073,0
2022-04-06,26.127800,26.256500,26.104340,26.131123,26.131123,0
2022-04-07,26.344982,26.388998,26.278238,26.349684,26.349684,0
2022-04-08,26.308500,26.337458,26.141619,26.307955,26.307955,0
2022-04-11,26.147900,26.165899,26.061361,26.146299,26.146299,0
2022-04-12,25.968399,25.971001,25.790001,25.969299,25.969299,0
2022-04-13,25.733818,25.889999,25.633379,25.747200,25.747200,0
2022-04-14,25.930500,26.107773,25.895039,25.924400,25.924400,0
2022-04-15,26.060080,26.100338,26.027201,26.085302,26.085302,0
2022-04-18,26.054899,26.062435,25.931700,26.052000,26.052000,0
2022-04-19,25.765800,26.087992,25.673271,25.767900,25.767900,0
2022-04-20,26.054600,26.184700,26.000195,26.049900,26.049900,0
2022-04-21,26.100792,26.347916,26.070438,26.115499,26.115499,0
2022-04-22,26.287901,26.337456,26.083237,26.290300,26.290300,0
2022-04-25,25.967899,26.103901,25.719999,25.969101,25.969101,0
2022-04-26,25.764099,25.836700,25.665850,25.766300,25.766300,0
2022-04-27,25.639141,25.750401,25.564264,25.647499,25.647499,0
2022-04-28,25.560400,25.660299,25.404200,25.563700,25.563700,0
2022-04-29,25.491301,25.635700,25.433439,25.476469,25.476469,0
2022-05-02,25.667801,25.715799,25.494743,25.670937,25.670937,0
2022-05-03,25.562901,25.621401,25.409513,25.568399,25.568399,0
2022-05-04,25.335091,25.399700,25.254601,25.348700,25.348700,0
2022-05-05,25.288601,25.295601,24.788799,25.283276,25.283276,0
2022-05-06,24.991800,25.048256,24.806969,24.992519,24.992519,0
2022-05-09,24.886000,25.174824,24.800245,24.884199,24.884199,0
2022-05-10,25.122900,25.208099,24.982201,25.124100,25.124100,0
2022-05-11,25.080019,25.142401,24.939274,25.083700,25.083700,0
2022-05-12,24.855400,24.965500,24.768700,24.858677,24.858677,0
2022-05-13,24.645700,24.675428,24.577600,24.647400,24.647400,0
2022-05-16,24.628813,24.703501,24.558001,24.626900,24.626900,0
2022-05-17,24.677200,24.952572,24.656847,24.672701,24.672701,0
2022-05-18,24.899300,24.937599,24.640306,24.890284,24.890284,0
2022-05-19,24.738398,24.935724,24.696587,24.718685,24.718685,0
2022-05-20,24.839800,24.908001,24.732952,24.827999,24.827999,0
2022-05-23,24.822901,24.975073,24.802114,24.817301,24.817301,0
2022-05-24,25.027500,25.066425,24.706051,25.029900,25.029900,0
2022-05-25,24.884100,24.948400,24.824326,24.884701,24.884701,0
2022-05-26,24.953199,24.993799,24.815737,24.952801,24.952801,0
2022-05-27,24.938801,25.022100,24.668886,24.936800,24.936800,0
2022-05-30,24.726000,24.754101,24.539499,24.712404,24.712404,0
2022-05-31,24.712776,24.869301,24.613800,24.712999,24.712999,0
2022-06-01,24.776300,24.841499,24.598707,24.772900,24.772900,0
